TILEID,SURVEY,PROGRAM,FAPRGRM,FAFLAVOR,NEXP,EXPTIME,TILERA,TILEDEC,EFFTIME_ETC,EFFTIME_SPEC,EFFTIME_GFA,GOALTIME,OBSSTATUS,LRG_EFFTIME_DARK,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GOALTYPE,MINTFRAC,LASTNIGHT
80632,sv1,bright,bgsmws,sv1bgsmws,11,3088.9,31.5,-5.5,0.0,648.9,0.0,600.0,obsend,598.7,636.2,648.9,535.1,bright,0.9,20210222
80712,sv1,dark,lrgqso,sv1lrgqso,12,9752.9,217.0,53.55,0.0,4439.1,0.0,4000.0,obsend,4241.1,4439.1,4284.6,4498.6,dark,0.9,20210222
80787,sv1,backup,backup1,sv1backup1,1,300.1,164.7,71.5,0.0,58.5,0.0,30.0,obsend,46.2,52.5,51.4,47.9,backup,0.9,20210223
80789,sv1,backup,backup1,sv1backup1,1,300.1,170.85,71.5,0.0,122.3,0.0,30.0,obsend,119.4,140.1,126.2,73.8,backup,0.9,20210223
80790,sv1,backup,backup1,sv1backup1,1,300.1,172.9,71.5,0.0,121.7,0.0,30.0,obsend,119.9,141.9,127.2,79.8,backup,0.9,20210223
80786,sv1,backup,backup1,sv1backup1,1,300.1,168.8,72.8,0.0,45.6,0.0,30.0,obsend,34.4,38.5,38.6,37.5,backup,0.9,20210223
80782,sv1,backup,backup1,sv1backup1,8,2970.5,168.8,71.5,0.0,1132.2,0.0,30.0,obsend,1117.8,1342.7,1162.6,737.7,backup,0.9,20210223
80785,sv1,backup,backup1,sv1backup1,1,300.1,168.8,72.15,0.0,99.8,0.0,30.0,obsend,97.8,116.5,103.4,62.8,backup,0.9,20210223
80783,sv1,backup,backup1,sv1backup1,1,300.1,168.8,70.2,0.0,126.5,0.0,30.0,obsend,120.9,142.9,127.6,81.2,backup,0.9,20210223
80788,sv1,backup,backup1,sv1backup1,1,300.1,166.75,71.5,0.0,101.9,0.0,30.0,obsend,99.0,118.3,104.5,62.1,backup,0.9,20210223
80784,sv1,backup,backup1,sv1backup1,1,300.1,168.8,70.85,0.0,114.0,0.0,30.0,obsend,109.0,129.5,114.7,70.9,backup,0.9,20210223
80639,sv1,bright,bgsmws,sv1bgsmws,13,4264.1,72.5,-1.1,0.0,436.3,0.0,600.0,obsstart,414.3,474.7,436.3,198.8,bright,0.9,20210224
80659,sv1,bright,bgsmws,sv1bgsmws,15,9949.0,165.0,32.375,0.0,840.9,0.0,600.0,obsend,790.7,916.5,840.9,580.4,bright,0.9,20210304
80684,sv1,dark,lrgqso,sv1lrgqso,19,13469.4,114.5,18.4,0.0,5727.6,0.0,4000.0,obsend,5362.4,5727.6,5489.5,5274.7,dark,0.9,20210305
80699,sv1,dark,elgqso,sv1elgqso,12,10241.8,155.0,32.375,0.0,4742.6,0.0,4000.0,obsend,4537.1,4742.6,4706.1,5222.7,dark,0.9,20210305
